,Nombre,Código,Almacenamiento,Procesador,Memoria Ram,Precio
0,"TUF Gaming F15 FX506LH-HN110T Intel Core i5 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15.6"" 144Hz",15059525,512GB,INTEL CORE I5,8GB,789990
1,"Notebook Gamer Nitro 5 AN515-55-56P2-1 Intel Core i5 12GB RAM 512 GB SSD NVIDIA GeForce GTX 1650 15.6""",15016083,512GB,INTEL CORE I5,12GB,799990
2,"Pavilion Gaming 15-DK1044LA Intel Core i5 8GB RAM 512GB SSD NVIDIA GTX 1660Ti 15.6"" 60 Hz",15261226,512GB,INTEL CORE I5,8GB,789990
3,"Notebook Gamer Legion 5 AMD Ryzen 5 5600, 16GB RAM, 1TB SSD, 6GB NVIDIA GeForce RTX 3060, 15.6"" FHD",15160163,1TB,AMD RYZEN R5,16GB,1269990
4,"Notebook Pavilion Gaming 15-dk1037la Intel® Core i7 16GB 1TB + 128GB SSD NVIDIA GeForce GTX 1660Ti 15,6""",15224419,128GB,INTEL CORE I7,16GB,999990
5,"Notebook TUF Gaming A15 FA506QM-HN023T AMD Ryzen R7 16GB RAM 512Gb SSD NVIDIA GeForce RTX 3060 15.6""",15059492,512GB,AMD RYZEN R7,16GB,1299990
6,"TUF Gaming F15 FX506LH-HN155T Intel Core i7 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15.6""",15219714,512GB,INTEL CORE I7,8GB,999990
7,"Notebooks Gamer AN515 AMD Ryzen R5 3550H 12GB RAM 1TB HDD + 128GB SSD GeForce® GTX 1650 15.6""",11135800,128GB,AMD RYZEN R5,12GB,749990
8,"Notebook HP Pavilion Gaming 15-dk1028la Intel Core i5 8GB RAM 256GB SSD NVIDIA GTX 1050 15.6"" 60 Hz",15331812,256GB,INTEL CORE I5,8GB,729990
9,"ROG Strix G15 G513QM-HF276T AMD Ryzen 9 16GB RAM 512GB SSD NVIDIA GeForce RTX 3060 15.6""",15219747,512GB,AMD RYZEN 9,16GB,1559990
10,"Pavilion Gaming 15-DK1043LA Intel Core i5 8GB RAM 512GB SSD NVIDIA GTX 1650Ti 15.6"" 60 Hz",15261225,512GB,INTEL CORE I5,8GB,969990
11,"Notebook Pavilion Gaming Intel Core i5-10300H 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce GTX 1650 16.1""",14449258,512GB,INTEL CORE I5,8GB,799990
12,"ROG Zephyrus G14 GA401QM-K2120T AMD Ryzen 9 16GB RAM 1TB SSD NVIDIA GeForce RTX 3060 14""",15220657,1TB,AMD RYZEN 9,16GB,1899990
13,"Notebook Pavilion Gaming 15-ec1026la AMD Ryzen 5 8GB 256GB SSD PCIe 15.6""",15359794,256GB,AMD RYZEN R5,8GB,749990
14,"Notebook Legion 5i Intel Core i7-10750H 8GB RAM 1TB HDD + 128GB SSD Nvidia Geforce GTX1660TI 15"" 144HZ WiFi6",11235824,128GB,INTEL CORE I7,8GB,1249990
15,"Alienware NB 15 m15 R3 Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 2070 15.6""",15261223,512GB,INTEL CORE I7,16GB,1899990
16,"Notebook Gamer OMEN Intel Core i5 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce RTX 2060 15.6""",14449248,512GB,INTEL CORE I5,8GB,1299990
17,"Notebook ROG Flow X13 GV301QH-K6291T AMD Ryzen 9 16GB RAM 1TB SSD NVIDIA GeForce GTX 1650 13.3""",14954807,1TB,AMD RYZEN 9,16GB,2699990
18,"Alienware NB 15 m15 R3 Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 2060 15.6""",15261222,512GB,INTEL CORE I7,16GB,1799990
19,Notebook Legion 7i Intel Core i7-10750H 32GB RAM 1TB SSD Nvidia Geforce RTX2080 Super Max-Q 240HZ,11236440,1TB,INTEL CORE I7,32GB,2519990
20,"Notebook ROG Flow X13 GV301QH-K6092T AMD Ryzen 7 16GB RAM 512GB SSD NVIDIA GeForce GTX 1650 13.3""",14954804,512GB,AMD RYZEN R7,16GB,1299990
21,"Katana GF76 11UD Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 3050 Ti 4GB 17.3"" 144 Hz",15320552,512GB,INTEL CORE I7,16GB,1499990
22,Notebook V145-14AST A4-9125 4Gb 500Gb 14 W10H,15360016,NO APLICA,AMD A4,4GB,399990
23,"Notebook Pavilion Gaming 16-a0004la Intel® Core i7 12GB 512GB SSD PCIe 16""",15229611,512GB,INTEL CORE I7,12GB,1149990
