,Nombre,Codigo,Almacenamiento,Procesador,Memoria Ram,Precio,Fecha
0,Notebook Asus X515ma-br576t,861599001,500 Gb,Intel Celeron,4 Gb,309990,2021-09-15
1,Notebook Reacondicionado Hp 14-dq1043c I3,851066001,256 Gb,Intel Core I3,8 Gb,399990,2021-09-15
2,Notebook Gamer Asus Tuf Gaming Fx506lh-hn082t,861708001,512 Gb,Intel Core I5,8 Gb,769990,2021-09-15
3,Notebook Lenovo Ideapad 3,841656001,1 Tb,Amd Athlon,8 Gb,399990,2021-09-15
4,Notebook Asus X415ea-eb742t,861710001,512 Gb,Intel Core I7,8 Gb,769990,2021-09-15
5,Notebook Hp 14-ck2091la,852613001,128 Gb,Intel Core I3,4 Gb,499990,2021-09-15
6,Notebook Hp Pavilion X360 Convertible 14-dy0002la,861802001,256 Gb,Intel Pentium,4 Gb,479990,2021-09-15
7,Notebook Asus M415da-ek844t,861709001,256 Gb,Amd Ryzen 3,4 Gb,449990,2021-09-15
8,Notebook Gamer Lenovo Ideapad Gaming 3 15arh05,866156001, 512 Gb,Amd Ryzen 5,8 Gb,799990,2021-09-15
9,Notebook Hp 240 G7,861805001,500 Gb,Intel Celeron,4 Gb,369990,2021-09-15
10,Notebook Hp 240 G7,827608001,1 Tb,Intel Core I3,4 Gb,509990,2021-09-15
11,Notebook Asus X515ea-bq968t,861707001,128 Gb,Intel Core I3,4 Gb,419990,2021-09-15
12,Notebook Lenovo Ideapad 3 14alc6,866158001,256 Gb,Amd Ryzen 5,8 Gb,589990,2021-09-15
13,Notebook Lenovo Ideapad S340,857116001,256 Gb,Amd Ryzen 5,8 Gb,629990,2021-09-15
14,Notebook Hp 15-cs3153cl Reacondicionado,857135001,512 Gb,Intel Core I5,12 Gb,599990,2021-09-15
15,Notebook Hp 348 G7,857419001,1 Tb,Intel Core I3,4 Gb,499990,2021-09-15
16,Notebook Hp Pavilion 17-by3063st Reacondicionado,858970001,1 Tb + 128 Gb,Intel Core I3,8 Gb,459990,2021-09-15
17,Chromebook p 14a-na0010ca Reacondicionado,857127001,64 Gb,Intel Celeron,4 Gb,239990,2021-09-15
18,Notebook Asus L410,857105001,64 Gb,Intel Celeron,4 Gb,334990,2021-09-15
19,Notebook Gamer Acer Nitro 5,853268001,1 Tb + 128 Gb,Intel Core I5,16 Gb,849990,2021-09-15
20,Notebook Lenovo Yoga Slim 7,863495001,256 Gb,Amd Ryzen 5,8 Gb,719990,2021-09-15
21,Notebook Lenovo Ideapad Flex 5,861594001,512 Gb,Intel Core I5,12 Gb,889990,2021-09-15
22,Macbook Air,844508001,256 Gb,Apple M1,8 Gb,1049990,2021-09-15
23,Notebook Hp Pavilion Gaming Laptop 15 Dk1028la,861686001,256 Gb,Intel Core I5,8 Gb,839990,2021-09-15
24,Notebook Reacondicionado Hp 15-da0022ds,851065001,256 Gb,Intel Pentium,8 Gb,459990,2021-09-15
25,Notebook Lenovo Ideapad S145-14iil,866155001,128 Gb,Intel Core I3,4 Gb,379990,2021-09-15
26,Notebook Gamer Msi Gf63 Thin 10sc-227cl,856792001,256 Gb,Intel Core I5,8 Gb,849990,2021-09-15
27,Notebook Asus X515ma-br288t,856210001,500 Gb,Intel Celeron,4 Gb,309990,2021-09-15
28,Notebook Hp 15-da0022 Reacondicionado,857131001,256 Gb,Intel Pentium,8 Gb,449990,2021-09-15
29,Notebook Hp 15-da0022 Reacondicionado,857130001,256 Gb,Intel Pentium,8 Gb,429990,2021-09-15
30,Notebook Hp 14-ce3065st Reacondicionado,857134001,256 Gb,Intel Core I5,8 Gb,569990,2021-09-15
31,Notebook Hp 14-fq0013dx Reacondicionado,857128001,128 Gb,Amd Athlon,4 Gb,319990,2021-09-15
32,Notebook Gamer Acer Nitro 5 An515-55-56p2-2,857358001,512 Gb,Intel Core I5,16 Gb,899990,2021-09-15
33,Notebook Reacondicionado Hp 14m-dw1013dx,851068001,128 Gb,Intel Core I3,8 Gb,499990,2021-09-15
34,Notebook Dell G5 5505,857110001,256 Gb,Amd Ryzen 7,8 Gb,1249990,2021-09-15
35,Macbook Pro,858915001,256 Gb,Apple M1,8 Gb,1349990,2021-09-15
36,Notebook Hp Pavilion X360 Reacondicionado,858968001,256 Gb,Intel Core I5,8 Gb,589990,2021-09-15
37,Notebook Dell 14-5406 Reacondicionado,857119001,512 Gb,Intel Core I7,8 Gb,769990,2021-09-15
38,Notebook Lenovo Ideapad 1 14ada05,865065001,64 Gb,Amd Athlon,4 Gb,299990,2021-09-15
39,Notebook Hp 14-dq1043c I3 Reacondicionado,857129001,256 Gb,Intel Core I3,8 Gb,439990,2021-09-15
40,Notebook Msi Prestige 14evo A11m-250cl,856793001,512 Gb,Intel Core I5,16 Gb,999990,2021-09-15
41,Notebook Lenovo Ideapad 3 14itl6,857972001,512 Gb,Intel Core I7,8 Gb,819990,2021-09-15
42,Notebook Gamer Msi Gf65 Thin 10sdr-1272cl,856791001,512 Gb,Intel Core I7,16 Gb,1349990,2021-09-15
43,Notebook Reacondicionado Dell 15-3593,851070001,128 Gb,Intel Core I3,8 Gb,489990,2021-09-15
44,Notebook Gamer Hp Pavilion 15-dk1022la,860717001,256 Gb,Intel Core I7,8 Gb,1209990,2021-09-15
45,Notebook Dell 15-3505 Reacondicionado,857122001,512 Gb,Amd Ryzen 7,12 Gb,739990,2021-09-15
46,Notebook Gamer Hp 15-EC1026LA,827605001,256 Gb,Amd Ryzen 5,8 GB,996990,2021-09-15
47,Notebook Asus Vivobook Ultra Thin,857106001,64 Gb,Intel Celeron,4 Gb,324990,2021-09-15
48,Notebook Dell 15-3505 Reacondicionado,857123001,128 Gb,Amd Athlon,4 Gb, 429990,2021-09-15
49,Notebook Asus X543ua-dm3470t,847348001,1 Tb,Intel Core I3,4 Gb,369990,2021-09-15
50,Notebook Lenovo Ideapad 3,851823001,128 Gb,Intel Core I3,4 Gb,849990,2021-09-15
51,Notebook Dell G3 3500,857108001,256 Gb,Intel Core I5,8 Gb,969990,2021-09-15
52,Notebook Lenovo Yoga Slim 9 14itl5,847312001,1 Tb,Intel Core I7 ,16 Gb,1499990,2021-09-15
53,Notebook Lenovo Yoga 9 14itl5,847313001,1 Tb,Intel Core I5,16 Gb,1199990,2021-09-15
54,Notebook Lenovo Yoga Slim 7 14itl05,858765001,512 Gb,Intel Core I5,8 Gb,849990,2021-09-15
55,Macbook Apple Pro Myda2b,864728001,256 Gb,Apple M1,8 Gb,1509990,2021-09-15
56,Macbook Pro,861596001,256 Gb,Apple M1,8 Gb,1349990,2021-09-15
57,Notebook Dell 15-3505 Reacondicionado,857124001,512 Gb,Intel Core I7,12 Gb,819990,2021-09-15
58,Notebook Dell Inspiron 15 3000,857111001,128 Gb,Intel Core I3,4 Gb,449990,2021-09-15
59,Notebook Hp 14-cf2051la,836670001,256 Gb,Intel Core I3,4 Gb,449990,2021-09-15
60,Notebook Lenovo Ideapad 3 15itl6,866157001,256 Gb,Intel Core I3,4 Gb,449990,2021-09-15
61,Macbook Apple Pro Myd82b,864727001,256 Gb,Apple M1,8 Gb,1349990,2021-09-15
62,Notebook Lenovo Slim 7,843695001,512 GB,Intel Core I5,8 GB,899990,2021-09-15
63,Notebook Dell 14-5406 Reacondicionado,857120001,512 Gb,Intel Core I3,8 Gb,769990,2021-09-15
64,Notebook Lenovo Ideapad S145,854773001,500 Gb,Amd Athlon,4 Gb,339990,2021-09-15
65,Macbook Air,844509001,256 Gb,Apple M1,8 Gb,1049990,2021-09-15
66,Notebook Lenovo Ideapad S145-14ast,840418001,500 Gb,Amd A4,4 Gb,299990,2021-09-15
67,Notebook Msi Modern 14 B10mw-258cl,867618001,256 Gb,Intel Core I5,8 Gb,909990,2021-09-15
68,Notebook Dell G5 15 5500,857109001,256 Gb,Intel Core I7,8 Gb,1249990,2021-09-15
69,Notebook Lenovo Ideapad S145,843715001,128 Gb,Intel Core I3,4 GB,449990,2021-09-15
70,HP Chromebook,42710,32GB eMMC,"AMD® A4-9120, 1,6GHz hasta 2,4GHz (1M Caché L2)",4 GB (1x4GB) DDR4 2666Mhz (Máx. 32GB de Memoria RAM) X Slot,237090,2021-09-15
71,HP 240 G7,38020,"SATA de 500 GB, 5400 rpm","Intel® Celeron® N4020, 1,1 GHz hasta 2,8 GHz (4MB caché)",4GB SDRAM DDR4-2400Mhz (1x4GB)(Máx. 8GB de Memoria RAM) 1 Slot,309290,2021-09-15
72,Asus X515MA-BR288T,41517,"500GB SATA 5400RPM 2.5"" HDD","Intel® Celeron® N4020, 1.1GHz hasta 2.8GHz (4MB Caché)",4GB DDR4 SO-DIMM (Máx. 8GB de Memoria RAM) 1X Slot,340190,2021-09-15
