,Codigo,Memoria Ram,Fecha,Precio,Almacenamiento,Nombre,Modelo,Procesador
0,857128001,4 Gb,2021-09-30,299990,128 Gb,Notebook Reacondicionado Hp 14-fq0013dx,Reacondicionado Hp 14-fq0013dx,Amd Athlon
1,866158001,8 Gb,2021-09-30,549990,256 Gb,Notebook Lenovo Ideapad 3 14alc6,Lenovo Ideapad 3 14alc6,Amd Ryzen 5
2,861708001,8 Gb,2021-09-30,769990,512 Gb,Notebook Gamer Asus Tuf Gaming Fx506lh-hn082t,Gamer Asus Tuf Gaming Fx506lh-hn082t,Intel Core I5
3,841656001,8 Gb,2021-09-30,399990,1 Tb,Notebook Lenovo Ideapad 3,Lenovo Ideapad 3,Amd Athlon
4,861707001,4 Gb,2021-09-30,419990,128 Gb,Notebook Asus X515ea-bq968t,Asus X515ea-bq968t,Intel Core I3
5,861599001,4 Gb,2021-09-30,309990,500 Gb,Notebook Asus X515ma-br576t,Asus X515ma-br576t,Intel Celeron
6,851066001,8 Gb,2021-09-30,409990,256 Gb,Notebook Reacondicionado Hp 14-dq1043c I3,Reacondicionado Hp 14-dq1043c I3,Intel Core I3
7,861710001,8 Gb,2021-09-30,769990,512 Gb,Notebook Asus X415ea-eb742t,Asus X415ea-eb742t,Intel Core I7
8,852613001,4 Gb,2021-09-30,379990,128 Gb,Notebook Hp 14-ck2091la,Hp 14-ck2091la,Intel Core I3
9,861802001,4 Gb,2021-09-30,479990,256 Gb,Notebook Hp Pavilion X360 Convertible 14-dy0002la,Hp Pavilion X360 Convertible 14-dy0002la,Intel Pentium
10,861709001,4 Gb,2021-09-30,449990,256 Gb,Notebook Asus M415da-ek844t,Asus M415da-ek844t,Amd Ryzen 3
11,866156001,8 GB,2021-09-30,759990,512 GB,Notebook Gamer Lenovo Ideapad Gaming 3 15ARH05,Gamer Lenovo Ideapad Gaming 3 15ARH05,AMD Ryzen 5
12,861805001,4 Gb,2021-09-30,309990,500 Gb,Notebook Hp 240 G7,Hp 240 G7,Intel Celeron
13,827608001,4 Gb,2021-09-30,449990,1 Tb,Notebook Hp 240 G7,Hp 240 G7,Intel Core I3
14,861803001,8 Gb,2021-09-30,519990,256 Gb,Notebook Hp 15-ef1018la,Hp 15-ef1018la,Amd Ryzen 5
15,858970001,8 Gb,2021-09-30,459990,1 Tb + 128 Gb,Notebook Hp Pavilion 17-by3063st Reacondicionado,Hp Pavilion 17-by3063st Reacondicionado,Intel Core I3
16,854773001,4 Gb,2021-09-30,319990,500 Gb,Notebook Lenovo Ideapad S145,Lenovo Ideapad S145,Amd Athlon
17,857135001,12 Gb,2021-09-30,599990,512 Gb,Notebook Hp 15-cs3153cl Reacondicionado,Hp 15-cs3153cl Reacondicionado,Intel Core I5
18,863495001,8 Gb,2021-09-30,649990,256 Gb,Notebook Lenovo Yoga Slim 7,Lenovo Yoga Slim 7,Amd Ryzen 5
19,847312001,16 Gb,2021-09-30,1499990,1 Tb,Notebook Lenovo Yoga Slim 9 14itl5,Lenovo Yoga Slim 9 14itl5,Intel Core I7
20,857127001,4 Gb,2021-09-30,239990,64 Gb,Chromebook p 14a-na0010ca Reacondicionado,p 14a-na0010ca Reacondicionado,Intel Celeron
21,861594001,12 Gb,2021-09-30,799990,512 Gb,Notebook Lenovo Ideapad Flex 5,Lenovo Ideapad Flex 5,Intel Core I5
22,861686001,8 Gb,2021-09-30,849990, 256 Gb,Notebook Hp Pavilion Gaming Laptop 15 Dk1028la,Hp Pavilion Gaming Laptop 15 Dk1028la,Intel Core I5
23,853268001,16 Gb,2021-09-30,849990,1 Tb + 128 Gb,Notebook Gamer Acer Nitro 5,Gamer Acer Nitro 5, Intel Core I5
24,866157001,4 Gb,2021-09-30,449990,256 Gb,Notebook Lenovo Ideapad 3 15itl6,Lenovo Ideapad 3 15itl6,Intel Core I3
25,857972001,8 Gb,2021-09-30,769990,512 Gb,Notebook Lenovo Ideapad 3 14itl6,Lenovo Ideapad 3 14itl6,Intel Core I7
26,847313001,16 Gb,2021-09-30,1199990,1 Tb,Notebook Lenovo Yoga 9 14itl5,Lenovo Yoga 9 14itl5,Intel Core I5
27,865065001,4 Gb,2021-09-30,416990,64 Gb,Notebook Lenovo Ideapad 1,Lenovo Ideapad 1,Amd Athlon
28,851068001,8 Gb,2021-09-30,499990,128 Gb,Notebook Reacondicionado Hp 14m-dw1013dx,Reacondicionado Hp 14m-dw1013dx,Intel Core I3
29,857419001,4 Gb,2021-09-30,449990, 1 Tb,Notebook Hp 348 G7,Hp 348 G7,Intel Core I3
30,866155001,4 Gb,2021-09-30,379990,128 Gb,Notebook Lenovo Ideapad S145-14iil,Lenovo Ideapad S145-14iil,Intel Core I3
31,856793001,16 Gb,2021-09-30,899990,512 Gb,Notebook Msi Prestige 14evo A11m-250cl,Msi Prestige 14evo A11m-250cl,Intel Core I5
32,857116001,8 Gb,2021-09-30,629990,256 Gb,Notebook Lenovo Ideapad S340,Lenovo Ideapad S340,Amd Ryzen 5
33,851065001,8 Gb,2021-09-30,459990,256 Gb,Notebook Reacondicionado Hp 15-da0022ds,Reacondicionado Hp 15-da0022ds,Intel Pentium
34,858915001,8 Gb,2021-09-30,1349990,256 Gb,Macbook Pro,Pro,Apple M1
35,843715001,4 GB,2021-09-30,389990,128 Gb,Notebook Lenovo Ideapad S145,Lenovo Ideapad S145,Intel Core I3
36,860717001,8 Gb,2021-09-30,1099990,256 Gb,Notebook Gamer Hp Pavilion 15-dk1022la,Gamer Hp Pavilion 15-dk1022la,Intel Core I7
37,844508001,8 Gb,2021-09-30,1049990,256 Gb,Macbook Air,Air,Apple M1
38,856794001,8 Gb,2021-09-30,999990,512 Gb,Notebook Msi Prestige 15 A11sb-450cl,Msi Prestige 15 A11sb-450cl,Intel Core I7
39,827605001,8 GB,2021-09-30,899990,256 Gb,Notebook Gamer Hp 15-EC1026LA,Gamer Hp 15-EC1026LA,Amd Ryzen 5
40,858968001,8 Gb,2021-09-30,589990,256 Gb,Notebook Hp Pavilion X360 Reacondicionado,Hp Pavilion X360 Reacondicionado,Intel Core I5
41,857134001,8 Gb,2021-09-30,569990,256 Gb,Notebook Hp 14-ce3065st Reacondicionado,Hp 14-ce3065st Reacondicionado,Intel Core I5
42,857130001,8 Gb,2021-09-30,429990,256 Gb,Notebook Hp 15-da0022 Reacondicionado,Hp 15-da0022 Reacondicionado,Intel Pentium
43,857105001,4 Gb,2021-09-30,299990,64 Gb,Notebook Asus L410,Asus L410,Intel Celeron
44,839318001,8 Gb,2021-09-30,829990,512 Gb,Notebook Gamer Asus TUF F15 FX506LI,Gamer Asus TUF F15 FX506LI,Intel Core I5
45,851823001,4 Gb,2021-09-30,759990,128 Gb,Notebook Lenovo Ideapad 3,Lenovo Ideapad 3,Intel Core I3
46,857108001,8 Gb,2021-09-30,969990,256 Gb,Notebook Dell G3 3500,Dell G3 3500,Intel Core I5
47,851070001,8 Gb,2021-09-30,489990, 128 Gb,Notebook Reacondicionado Dell 15-3593,Reacondicionado Dell 15-3593,Intel Core I3
48,858765001,8 Gb,2021-09-30,799990,512 Gb,Notebook Lenovo Yoga Slim 7 14itl05,Lenovo Yoga Slim 7 14itl05,Intel Core I5
49,856210001,4 Gb,2021-09-30,309990,500 Gb,Notebook Asus X515ma-br288t,Asus X515ma-br288t,Intel Celeron
50,857129001,8 Gb,2021-09-30,439990,256 Gb,Notebook Hp 14-dq1043c I3 Reacondicionado,Hp 14-dq1043c I3 Reacondicionado,Intel Core I3
51,864728001,8 Gb,2021-09-30,1509990,256 Gb,Macbook Apple Pro Myda2b,Apple Pro Myda2b,Apple M1
52,861596001,8 Gb,2021-09-30,1349990,256 Gb,Macbook Pro,Pro,Apple M1
53,827607001,4 Gb,2021-09-30,299990,500 Gb,Notebook Hp 240 G7,Hp 240 G7,Intel Celeron
54,864727001,8 Gb,2021-09-30,1349990,256 Gb,Macbook Apple Pro Myd82b,Apple Pro Myd82b,Apple M1
55,857106001,4 Gb,2021-09-30,324990,64 Gb,Notebook Asus Vivobook Ultra Thin,Asus Vivobook Ultra Thin,Intel Celeron
56,857111001,4 Gb,2021-09-30,449990,128 Gb,Notebook Dell Inspiron 15 3000,Dell Inspiron 15 3000,Intel Core I3
57,843695001,8 GB,2021-09-30, 899990,512 GB,Notebook Lenovo Slim 7,Lenovo Slim 7,Intel Core I5
58,857119001,8 Gb,2021-09-30,769990,512 Gb,Notebook Dell 14-5406 Reacondicionado,Dell 14-5406 Reacondicionado,Intel Core I7
59,857124001,12 Gb,2021-09-30,819990,512 Gb,Notebook Dell 15-3505 Reacondicionado,Dell 15-3505 Reacondicionado,Intel Core I7
60,857120001,8 Gb,2021-09-30,769990,512 Gb,Notebook Dell 14-5406 Reacondicionado,Dell 14-5406 Reacondicionado,Intel Core I3
